"","child_id","status","reason","response_uuid"
"1","CDUVJS","removed","baby never in frame","d56d94dd-e688-47e0-ae29-9d04adb2ef35"
"2","FdGTMc","removed","no trial videos","5464465d-68ed-450f-a19c-c1748323f72d"
"3","NUcF2L","removed","no gestational info","f86fb71c-f5f4-446a-86ed-8bd9d23a3538"
"4","KYcLLK","removed","premature","9f3695c5-7176-4c2b-98c4-01cdf40b49c4"
"5","4W44JQ","removed","second participation","81bd4a0c-da5e-4a65-a703-736aa192f423"
"6","VDQ5BZ","removed","no trial videos for first participation","06b632cd-6894-4660-b625-51ba893e9753"
"7","VDQ5BZ","removed","second participation","40c30344-6ff5-457c-9564-b529f40ea855"
"8","dMXAXJ","removed","no trial videos","67ae84d9-7471-4d07-977e-ce362a21921f"
"9","VJBJ32","removed","premature","f8680295-b8fb-477b-9554-81a9bbfd34ed"
"10","SKPWQL","removed","premature","f72d155f-2ebb-4c10-bb93-c4b5a25b0966"
"11","dGTSDc","removed","no gestational info","6e716675-1def-43c5-af37-8fe0d786b4c2"
"12","26BZCM","removed","no trial videos","953344fc-799e-4016-8a51-21f3b8ed6601"
"13","26BZCM","removed","second participation","30a3209e-6f09-4929-ad32-185e6f483b69"
"14","dNXQNd","removed","no trial videos","0f4c8954-d104-4f04-a09f-9c1263e39cf5"
"15","PXSKPY","removed","premature","548671cb-5376-4c32-ac12-0071e6982c04"
"16","cRJHKW","removed","no trial videos","37f1de41-ff9c-4c9a-a9f1-b656c18e8cec"
"17","7dCZcE","removed","second participation","6f0947b3-9830-45ca-ba86-cfc5ec486f9d"
"18","7dCZcE","removed","third participation","76a0637c-6f92-4092-8060-f08308dc457d"
"19","AJNASE","removed","second participation","c0c1c469-54e5-48e9-b497-00c1ece99674"
"20","F3SLdG","removed","too old","e49364fd-adea-4837-a059-315c649ea7a2"
"21","F3SLdG","removed","too old","0005b210-2572-44a6-8c82-5e44ef0b3656"
"22","A7cVVc","removed","no trial videos","8c7a3534-ee50-454c-a1bd-ea6a9f07d7c9"
"23","B24J2J","removed","too old","5a53ce41-c166-4dd2-9f11-a2243f76a8f7"
"24","LGRMU3","removed","premature","fe99e283-c8b5-49fa-9ae4-1c265fd05b62"
"25","GZRSGQ","removed","premature","3c09b126-9ef1-435a-85ed-23db7ad957f0"
"26","N3AcLG","removed","no trial videos","01f46d90-343e-4664-af1c-50a927672686"
"27","A7cVVc","removed","second participation","8519a604-0f9f-400b-b24b-98c22c18ad69"
"28","NQXWC7","removed","no trial videos","c5ed12b7-567d-4920-87d5-f0821bae09e1"
"29","NSPKAX","removed","second participation","4abfa29a-1dee-4408-9055-d2ca6ac715b7"
"30","T6YZcc","removed","way too old","e9d03df9-8646-4d0d-8e50-50c6a4c17ac9"
"31","dMRE3G","removed","premature","7977a56e-52c2-49eb-b854-2ca2820dced2"
"32","Z6NPSH","removed","second participation","92bd9baa-0fa0-4fb5-8257-cf6ae117e718"
"33","YVAPXR","removed","premature","57cf51a1-1f42-4061-a7c0-1c4b27913b58"
"34","36PHQH","removed","premature","a714f41b-c472-4c99-96dd-d3fb2e4e4600"
"35","R3UB43","removed","no gestational info","775c8b2e-aaf0-465a-a3fe-6c9701c71b00"
"36","QVNX24","removed","no gestational info","39334bb8-ea26-4bfd-bf3d-bacdeb068223"
